

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 1  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

  21 AUG 2024  0  0  5  00       0.024       0.847          ---         --- 
               0  0  6  01       0.009       0.842          ---         --- 
               0  0  7  02      -0.002       0.862          ---         --- 
               0  0  8  03       0.012       0.834          ---         --- 
               0  0  9  04      -0.002       0.835          ---         --- 
               0  0 10  05       0.012       0.839          ---         --- 
               0  0 11  06       0.009       0.855          ---         --- 
               0  0 12  07       0.019       0.849          ---         --- 
               0  0 13  08       0.018       0.835          ---         --- 
               0  0 14  09       0.010       0.834          ---         --- 
               0  0 15  0a      -0.007       0.821          ---         --- 
               0  0 16  0b      -0.001       0.837          ---         --- 
               0  0 17  0c       0.012       0.850          ---         --- 
               0  0 18  0d       0.006       0.839          ---         --- 
               0  0 19  0e       0.002       0.844          ---         --- 
               0  0 20  0f       0.022       0.846          ---         --- 
               0  0 21  10       0.012       0.850          ---         --- 
               0  0 22  11       0.004       0.839          ---         --- 
               0  0 23  12       0.020       0.873          ---         --- 
               0  0 24  13       0.027       0.856          ---         --- 
               0  0 25  14       0.004       0.827          ---         --- 
               0  0 26  15       0.010       0.835          ---         --- 
               0  0 27  16       0.001       0.831          ---         --- 
               0  0 28  17       0.002       0.850          ---         --- 
               0  0 29  18       0.009       0.844          ---         --- 
               0  0 30  19       0.012       0.850          ---         --- 
               0  0 31  1a       0.010       0.851          ---         --- 
               0  0 32  1b       0.011       0.832       VALID       VALID  
               0  0 33  1c       0.019       0.840       VALID       VALID  
               0  0 35  1d       0.024       0.849       VALID       VALID  
               0  0 36  1e       0.009       0.869       VALID       VALID  
               0  0 37  1f       0.006       0.844       VALID       VALID  
               0  0 38  00      -0.001       0.856       VALID       VALID  
               0  0 39  01       0.007       0.852       VALID       VALID  
               0  0 40  02       0.010       0.857       VALID       VALID  
               0  0 41  03      -0.001       0.854       VALID       VALID  
               0  0 42  04       0.007       0.850       VALID       VALID  
               0  0 43  05       0.009       0.837       VALID       VALID  
               0  0 44  06       0.010       0.835       VALID       VALID  
               0  0 45  07       0.006       0.856       VALID       VALID  
               0  0 46  08       0.000       0.857       VALID       VALID  
               0  0 47  09       0.011       0.839       VALID       VALID  
               0  0 48  0a       0.000       0.845       VALID       VALID  
               0  0 49  0b       0.020       0.841       VALID       VALID  
               0  0 50  0c       0.012       0.842       VALID       VALID  
               0  0 51  0d       0.002       0.855       VALID       VALID  
               0  0 52  0e       0.020       0.857       VALID       VALID  
               0  0 53  0f       0.005       0.857       VALID       VALID  

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 2  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

               0  0 54  10       0.000       0.851       VALID       VALID  
               0  0 55  11       0.018       0.839       VALID       VALID  
               0  0 56  12       0.009       0.837       VALID       VALID  
               0  0 57  13       0.012       0.849       VALID       VALID  
               0  0 58  14       0.011       0.839       VALID       VALID  
               0  0 59  15       0.010       0.847       VALID       VALID  
               0  1  0  16       0.007       0.849       VALID       VALID  
               0  1  1  17       0.011       0.851       VALID       VALID  
               0  1  2  18       0.006       0.855       VALID       VALID  
               0  1  3  19       0.000       0.844       VALID       VALID  
               0  1  4  1a      -0.010       0.850       VALID       VALID  
               0  1  5  1b       0.021       0.830       VALID       VALID  
               0  1  6  1c       0.014       0.864       VALID       VALID  
               0  1  7  1d       0.031       0.829       VALID       VALID  
               0  1  8  1e       0.004       0.836       VALID       VALID  
               0  1  9  1f       0.029       0.849       VALID       VALID  
               0  1 10  00       0.019       0.837       VALID       VALID  
               0  1 11  01       0.014       0.844       VALID       VALID  
               0  1 12  02       0.019       0.847       VALID       VALID  
               0  1 13  03       0.002       0.851       VALID       VALID  
               0  1 14  04       0.009       0.841       VALID       VALID  
               0  1 15  05       0.018       0.852       VALID       VALID  
               0  1 17  06      -0.005       0.849       VALID       VALID  
               0  1 18  07       0.018       0.830       VALID       VALID  
               0  1 19  08       0.015       0.837       VALID       VALID  
               0  1 20  09       0.016       0.849       VALID       VALID  
               0  1 21  0a       0.011       0.839       VALID       VALID  
               0  1 22  0b       0.007       0.837       VALID       VALID  
               0  1 23  0c       0.029       0.859       VALID       VALID  
               0  1 24  0d       0.010       0.860       VALID       VALID  
               0  1 25  0e       0.016       0.842       VALID       VALID  
               0  1 26  0f       0.020       0.844       VALID       VALID  
               0  1 27  10       0.009       0.857       VALID       VALID  
               0  1 28  11       0.004       0.861       VALID       VALID  
               0  1 29  12       0.026       0.847       VALID       VALID  
               0  1 30  13       0.007       0.850       VALID       VALID  
               0  1 31  14       0.012       0.841       VALID       VALID  
               0  1 32  15       0.005       0.849       VALID       VALID  
               0  1 33  16       0.004       0.825       VALID       VALID  
               0  1 34  17       0.011       0.847       VALID       VALID  
               0  1 35  18       0.009       0.857       VALID       VALID  
               0  1 36  19       0.019       0.831       VALID       VALID  
               0  1 37  1a       0.021       0.856       VALID       VALID  
               0  1 38  1b       0.005       0.837       VALID       VALID  
               0  1 39  1c       0.010       0.834       VALID       VALID  
               0  1 40  1d       0.010       0.844       VALID       VALID  
               0  1 41  1e       0.021       0.852       VALID       VALID  
               0  1 42  1f       0.009       0.851       VALID       VALID  

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 3  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

               0  1 43  00       0.020       0.854       VALID       VALID  
               0  1 44  01       0.012       0.837       VALID       VALID  
               0  1 45  02       0.010       0.869       VALID       VALID  
               0  1 46  03       0.009       0.841       VALID       VALID  
               0  1 47  04       0.006       0.849       VALID       VALID  
               0  1 48  05       0.020       0.846       VALID       VALID  
               0  1 49  06       0.016       0.847       VALID       VALID  
               0  1 50  07       0.019       0.840       VALID       VALID  
               0  1 51  08       0.007       0.861       VALID       VALID  
               0  1 52  09       0.016       0.841       VALID       VALID  
               0  1 53  0a       0.010       0.847       VALID       VALID  
               0  1 54  0b       0.026       0.846       VALID       VALID  
               0  1 55  0c       0.018       0.844       VALID       VALID  
               0  1 56  0d       0.009       0.832       VALID       VALID  
               0  1 57  0e       0.014       0.849       VALID       VALID  
               0  1 58  0f       0.015       0.840       VALID       VALID  
               0  2  0  10       0.009       0.830       VALID       VALID  
               0  2  1  11       0.010       0.849       VALID       VALID  
               0  2  2  12       0.002       0.851       VALID       VALID  
               0  2  3  13       0.027       0.854       VALID       VALID  
               0  2  4  14       0.016       0.851       VALID       VALID  
               0  2  5  15       0.021       0.840       VALID       VALID  
               0  2  6  16       0.012       0.837       VALID       VALID  
               0  2  7  17       0.029       0.857       VALID       VALID  
               0  2  8  18       0.007       0.855       VALID       VALID  
               0  2  9  19       0.009       0.849       VALID       VALID  
               0  2 10  1a       0.016       0.837       VALID       VALID  
               0  2 11  1b       0.004       0.841       VALID       VALID  
               0  2 12  1c       0.019       0.866       VALID       VALID  
               0  2 13  1d       0.011       0.839       VALID       VALID  
               0  2 14  1e       0.011       0.856       VALID       VALID  
               0  2 15  1f       0.010       0.847       VALID       VALID  
               0  2 16  00       0.018       0.854       VALID       VALID  
               0  2 17  01       0.016       0.841       VALID       VALID  
               0  2 18  02       0.031       0.831       VALID       VALID  
               0  2 19  03       0.025       0.856       VALID       VALID  
               0  2 20  04       0.015       0.851       VALID       VALID  
               0  2 21  05       0.001       0.846       VALID       VALID  
               0  2 22  06       0.015       0.846       VALID       VALID  
               0  2 23  07       0.004       0.855       VALID       VALID  
               0  2 24  08       0.011       0.845       VALID       VALID  
               0  2 25  09       0.036       0.830       VALID       VALID  
               0  2 26  0a       0.005       0.849       VALID       VALID  
               0  2 27  0b       0.024       0.841       VALID       VALID  
               0  2 28  0c       0.004       0.840       VALID       VALID  
               0  2 29  0d       0.012       0.846       VALID       VALID  
               0  2 30  0e       0.015       0.847       VALID       VALID  
               0  2 31  0f       0.011       0.844       VALID       VALID  

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 4  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

